concept_id,unit_source_value,male_range_low,male_range_high,female_range_low,female_range_high
3037511,%,20,40,20,40
3037511,~,20,40,20,40
3037511,k/mm3,1.5,3,1.5,3
3004327,k/ul,1.5,3,1.5,3
3004327,cells/ul,1500,3000,1500,3000
3004327,thou/ul,1.5,3,1.5,3
3004327,x10(3)/ul,1.5,3,1.5,3
3004327,10*3/ul,1.5,3,1.5,3
3004327,cells/ul^^l,1.5,3,1.5,3
3004327,x10*3/mcl,1.5,3,1.5,3
3004327,markers,1.5,3,1.5,3
3004327,~,1.5,3,1.5,3
3004327,b/l,1.5,3,1.5,3
3004327,10\s\3/ul,1.5,3,1.5,3
3004327,k/cumm,1.5,3,1.5,3
3004327,cells/mcl,1500,3000,1500,3000
3004327,/ul,1500,3000,1500,3000
3004327,10*3/uL,1.5,3,1.5,3
3004327,10^3/ul,1.5,3,1.5,3
3019897,~,11.8,14.5,12.2,16.1
3019897,fl,11.8,14.5,12.2,16.1
3019897,%,11.8,14.5,12.2,16.1
3019897,%^percent^ucum,11.8,14.5,12.2,16.1
3008342,%,40,73,40,73
3008342,~,40,73,40,73
3008342,k/mm3,1.8,7.8,1.8,7.8
3008342,10*3/uL,40,73,40,73
3013650,k/ul,1.8,7.8,1.8,7.8
3013650,b/l,1.8,7.8,1.8,7.8
3013650,thou/ul,1.8,7.8,1.8,7.8
3013650,cells/mcl,1800,7800,1800,7800
3013650,cells/ul,1800,7800,1800,7800
3013650,10\s\3/ul,1.8,7.8,1.8,7.8
3013650,tho/ul,1.8,7.8,1.8,7.8
3013650,10*3/ul,1.8,7.8,1.8,7.8
3013650,10*3/mm3,1.8,7.8,1.8,7.8
3013650,x10*3/mcl,1.8,7.8,1.8,7.8
3013650,10*3/uL,1.8,7.8,1.8,7.8
3013650,k/cumm,1.8,7.8,1.8,7.8
3013650,10^3/ul,1.8,7.8,1.8,7.8
3013650,~,1.8,7.8,1.8,7.8
3028615,cells/ul,,600,,600
3028615,k/cumm,,.6,,.6
3028615,b/l,,.6,,.6
3028615,10^3/ul,,.6,,.6
3028615,x10(3)/ul,,.6,,.6
3028615,tho/ul,,.6,,.6
3028615,10*3/ul,,.6,,.6
3028615,10*3/uL,,.6,,.6
3028615,k/ul,,.6,,.6
3028615,cells/mcl,,600,,600
3028615,thou/ul,,.6,,.6
3028615,x10*3/mcl,,.6,,.6
3028615,/ul,,600,,600
3028615,10\s\3/ul,,.6,,.6
3033575,10^3/ul,.1,.9,.1,.9
3033575,10\s\3/ul,.1,.9,.1,.9
3033575,%,2,8,2,8
3033575,k/cumm,.1,.9,.1,.9
3033575,k/ul,.1,.9,.1,.9
3033575,thou/ul,.1,.9,.1,.9
3033575,cells/mcl,100,900,100,900
3033575,b/l,.1,.9,.1,.9
3033575,10*3/uL,.1,.9,.1,.9
3033575,tho/ul,.1,.9,.1,.9
3033575,~,.1,.9,.1,.9
3033575,x10(3)/ul,.1,.9,.1,.9
3033575,cells/ul,100,900,100,900
3033575,10*3/ul,.1,.9,.1,.9
3033575,x10*3/mcl,.1,.9,.1,.9
3024561,gm/dl,3.5,5.5,3.5,5.5
3024561,mg/dl,3500,5500,3500,5500
3024561,~,3.5,5.5,3.5,5.5
3024561,g/dl,3.5,5.5,3.5,5.5
3024561,g/dl^gramsperdeciliter^ucum,3.5,5.5,3.5,5.5
3020460,u/l,,168,,168
3020460,mg/l^milligramsperliter^ucum,,10,,10
3020460,mg/dl,,1,,1
3020460,~,,10,,10
3020460,mg/l,,10,,10
3017250,mg/dl,0.7,1.3,0.6,1.1
3017250,mg/l,0.7,1.3,0.6,1.1
3017250,g/l,0.7,1.3,0.6,1.1
3017250,mg/kg/day,14,26,11,20
3017250,mg/24hr,500,2000,500,2000
3017250,mg/ml,0.7,1.3,0.6,1.1
3000067,pg/ml^picogramspermilliliter^ucum,10,65,10,65
3000067,pg/ml,10,65,10,65
3000067,mg/dl,10,65,10,65
3000067,~,10,65,10,65
3000067,pmol/l,1.06,6.79,1.06,6.79
3001582,mg/mg_creat,,200,,200
3001582,mg/g_creat,,200,,200
3001582,~,,.2,,.2
3001582,unknown,,200,,200
3001582,mg/mg creat,,.2,,.2
3001582,mg/mg{creat},,200,,200
3001582,%,,200,,200
3001582,ratio,,200,,200
3001582,mg/mg,,.2,,.2
3001582,n/a,,200,,200
3001582,mg/g creat,,200,,200
3001582,mg/mg cr,,.2,,.2
3001582,mg/g,,200,,200
